slug,title,tags,thumb
182-osira002,Why you little b*tch,"quote, insult",
321-go,321 Go!,action,
8d82b5_doom_shotgun_firing_sound_effect,Doom Shotgun,"foley, gun, games",doom-game.png
9convert_JMEQrwL,Who invited this kid,"dismissive, insult",
absofreakinglutly,ABSOfreaking LUTLY,"yes, enthusiasm",
ahmed-the-dead-terrorist-silence-i-kill-you_,Silence! I kill you,"angry, quote",
alex-jones,Alex Jones Swearing,"insult, quote",
all-right,All Right,"movies, approve, yes, winning",
alrighty-then_BurQE5H,Alrighty then - Ace Ventura,"confirmation, lets-do-it, fake-enthusiasm, yes",ace-ventura.png
announcer_kill_monster_01_1,Monster Kill,"games, drama, winning",
are-you-crazy-out-of-your-mind,Are You Crazy Out of Your Mind,"insult, dismissive",
badumtss.swf,Ba Dum Tss 2,"drum, conclusion, foley, meeting",drumroll.png
baldo-scream,Scream,"scream, danger",
barney-the-whisper-song,Whisper Song,sexy,
bb-drum-roll,Drum roll,"foley, drum, suspense",drumroll.png
beavis-and-butthead-laughing,Beavis & Butthead,"laugh, cartoons",beavis-butthead.png
benders-doomed,Our Universe is Doomed,"fail, cartoons, futurama",bender-futurama.png
bitch-said-what-i-said,"Bitch, I Said What I Said!","winning, song",
boing_lmke36X,BOING,foley,
booing,Booing,"dismissive, fail, natural, realistic",
borat-great-success,Great Success,"winning, yes, meeting",borat.png
borat-theme,Borat Theme Song,theme-song,borat.png
borat-wowaweewa,Wowaweewa (Borat),"yes, enthusiasm",borat.png
boring-1,Boring,"dismissive, meeting",
bundy,Bundy Theme Song,"theme-song, tv-show",married-with-children.png
bye-bitch-meme,Bye Bitch!,"dismissive, _unfilled",
Call me maybe,Call me Maybe,song,
careless-whisper-fail,Careless Whisper Fail,sexy,
cartoon-boing_7vRWDlc,Cartoon boing sfx,foley,
censor-beep-7,Censor Beep,"foley, insult, meeting",
challenge-acepted,Chalenge Accepted,"action, yes, meeting",
cinematic-suspense-riser,Cinematic Suspense Riser,"suspense, _unfilled, filler",
circus-theme-music-www,Circus theme,"mockery, circus",
congratulations_mpRtRIg,Congrats. You're a failure,"fail, sarcasm",
crack_the_whip,Whip,"foley, meeting",
crazy-realistic-knocking-sound-troll-twitch-streamers_small,Door Knocking,"foley, natural, realistic",
daffy-duck-scream,Daffy Duck Scream,"scream, danger",daffy-duck.png
dark_side_calling_u223,The Dark Side is calling,"darth-vader, movies",darth-vader-small.png
dj-airhorn-sound-effect-kingbeatz_1,DJ Airhorn,"foley, winning, action",
donald-trump,Trump - Stop It,"male-voice, donald-trump, no",donald-trump.png
dont-fail-me-again-vader,Don't fail me again,"darth-vader, movies, fail, meeting",darth-vader-small.png
dont-worry-be-happy-lyrics-loudtronix-hq-mp3cut,Don't worry be happy,"chill-down, happy",
doom,Doom button,"action, metal, games",doom-game.png
doom-eternal,Doom Eternal,"action, metal, games",doom-game.png
dramatic.swf,Dramatic Chipmunk,"suspense, drama",
drum-roll-gaming-sound-effect-hd,Drum Roll Effect,"drum, drama, suspense, filler, foley",drumroll.png
dry-fart,Fart,"fart, meeting",
duke_nukem_time_to_kick_ass,It's Time to Kick Ass,"dukenukem, action",duke-nukem.png
duke-1,Duke Nukem riff 1,"dukenukem, action",duke-nukem.png
duke-3,Duke Nukem riff 3,"dukenukem, action",duke-nukem.png
duke-nukem-3d-come-get-some,Come Get Some,"dukenukem, dismissive",duke-nukem.png
duke-nukem-shit-happens,Shit Happens!,"dukenukem, fail, meeting",duke-nukem.png
dun-dun-duuuun-sound-effect-1,Suspense Dundunduun,"suspense, drama, meeting",
epic-fail_1,Epic Fail,fail,
excellent-3-wario,Excellente,yes,
excellent-quake-robot,Excellent,"yes, robot-voice, meeting",
expedientes-secretos-x-musica22,X files,"tv-show, theme-song, suspense, meeting",x-files.png
explosion_1,Bomb,"foley, gun",
fail_6uWkkOG,Fail horns cartoony,fail,
fart-moan3,Fart Moan,fart,
follow_vrIWkAR,Thanks for the Follow!,thank-you,
funny_82hiegE,Chipmunk Laugh,laugh,
george-micael-wham-careless-whisper-1,Sexy Sax,sexy,
get-yo-fat-ass-back-here,Get yo fat Ass Back,"quote, sexy, female-voice",
gunshot-one,Load and Gunshot Fire,"gun, foley",
half-life-2-stalker-scream,Stalker Scream,"scream, danger,excuses",
hallelujah-long,Hallelujah long,"yes, meeting",
hallelujah-short,Hallelujah short,"yes, meeting",
hallelujah-song-shrek,Hallelujah Song Shrek,"song, happy",
hallelujahshort.swf,Hallelujah,"approve, relief, happy, yes",
hb128,8-bit Happy Birthday,"happy-birthday, robot-voice",
heavenly-music-gaming-sound-effect-hd-mp3cut,Heavenly Music,"approve, happy, yes, meeting",
hell-yeah_dBN35mW,Hell Yeah,"dukenukem, winning, meeting",duke-nukem.png
hercules-disappointed_PUbGxv7,Disappointed,"dismissive, fail",
huh_37bAoRo,Huh?,"confusion, meeting",
i-fart-in-your-general-direction_AlhlzcL,I Fart in your General direction,"dismissive, fart, insult",
i-find-your-lack-of-faith-disturbing-star-wars-episode-iv,Lack of faith,"darth-vader, movies, dismissive, meeting",darth-vader-small.png
impatient-bender_YK9VCWl,Let's Go Already,"impatience, cartoons, futurama, meeting",bender-futurama.png
imperial-march-2nd-cut,Imperial March,"movies, action",dath-vader.png
inceptionbutton,Inception Button,"action, suspense, movies",
incorrect-buzzer,Loud Buzzer Incorrect,fail,
indian-action,Indian Action Theme,"action, theme-song",
insha-allah-song,Inshallah,"yes, song",
ios-ringtone3,iPhone Ringtone 1,"ringtone, foley, meeting, excuses",
iphone-ring2,iPhone Ringtone 2,"ringtone, foley, meeting, excuses",
it-is-pointless-to-resist,It is pointless to resist,"quote, darth-vader, robot-voice, movies, no",darth-vader-small.png
joinus-online-audio-converter,Join Us,"darth-vader, movies",darth-vader-small.png
just-do-it,JUST DO IT!,"action, meeting",
kids_cheering,Kids Cheering,"happy, cheering",
looney-tunes-short,Looney Tunes,"cartoons, theme-song",looney-tunes.png
los-del-rio-macarena-original-video-mp3cut,Hey Macarena,"song, winning, happy, meeting",
maybe,Maybe,"yes, no, meeting",
merry-christmas-you-filthy-animal,"Merry XMS, ya filthy **","aggressive, insult",
metal-slug-mission-complete,Mission Complete,"winning, games, meeting",
mgsv-the-kids-are-all-dead-mission-failed,Kids all dead Mission Failed,fail,
mion-hello,Hello,"cartoons, foley, confusion",
mission-failed-well-get-em-next-time-sound-effect-zxhixnbk,"Mission Failed, get em next time",fail,
money-soundfx,MoneyFX,foley,
my-movie-6_0RlWMvM,Wide Putin Meme,meme,
nappas-are-we-there-yet-1-1,Are we there yet?,impatience,
news_intro-maximilien_-1801238420_2,News Intro Breaking News,foley,breaking-news.png
no-god-please-no_F2DnCFM,No God Please,no,the-office.png
nobody-cares-robotnik,Nobody Cares!,"sarcasm, dismissive",
nooo,NOOO!,"darth-vader, movies, dismissive, no",darth-vader-small.png
nooo.swf,Noooo!,no,
nuclear-alarm-siren,Nuclear Alarm Siren,"foley, alarm, danger, excuses",
official-duke-nukem-forever-theme-song-grabbag-mix1-v2-phomastered,Duke Nukem,"dukenukem, action, metal",duke-nukem.png
oh-no-no-no-no-laugh,Oh No no no laugh,_unfilled,
oh-no-no-no-tik-tok-song-sound-effect,Oh No No No Song,"_unfilled, sad",
oops_CSnioFg,Oops I did it again,"song, winning",
oppan-gangnam-style,Oppan Gangnam,"song, action, enthusiasm",
perhaps,Perhaps,"yes, no",
piano-riff,Blues Piano riff,action,
pink-fluffy-unicorns-dancing-on-rainbows,Pink Fluffy Unicorn,"happy, enthusiasm",
pirates-of-the-caribbean-theme-song,Pirates of the Caribbean,"movies, theme-song, action",
pistol-sound-effect_zejYI9w,Pistol effect,"foley, gun",
punch-gaming-sound-effect-hd_RzlG1GE,Punch,"foley, angry, meeting",
record-27-11-2018_16-41-34,Merry Christmas MotherF´s,"aggressive, insult",
respct,Respect my Authotity,"angry, dismissive",
rick-roll,Rick Roll,"foley, sarcasm",
rimshot,Tum Dum Tss,"foley, winning",drumroll.png
ringtone_7,Oh Hell No,"no, female-voice, meeting",
sad-ham,Sad Ham,"sad, meeting",
sad-trombone,Sad Trombone,"sad, meeting",
sarah-brightman-andrea-bocelli-time-to-say-goodbye-1997-video-stereo-widescreenmp3,Time to Say Goodbye...,movies,
seinfeld-theme_1,Seinfeld Theme Song,"theme-song, tv-show, seinfeld, meeting",seinfeld.png
sexy-and-i-know-it_crWNUGY,Sexy and I know it,sexy,
sexy-sexy-sexy-adasdasdasd,Sexy sexy sexy,sexy,
shut-up-male,Shut Up!,"dismissive, insult, male-voice, meeting",
sitcom-laughing-1,Sitcom laugh,"laugh, tv-show, meeting",
skype-ringtone,Skype Ringtone,"ringtone, foley, meeting, excuses",
sony-ericsson-ringtone,Sony Ringtone,"ringtone, foley",
south-park-intro-season-12,South Park intro,"tv-show, theme-song",south-park.png
star-wars-rock-darth-vader,Star Wars theme,"darth-vader, action, theme-song",darth-vader-small.png
studio-audience-awwww-sound-fx,Aww,"dismissive, fail, meeting",
stupid-comments,Stupid Comments,insult,
surprise-motherfucker_Wd1bsed,Surprise Motherfucker!,"action, meeting",
swvader03,Yes My Master,"darth-vader, yes",darth-vader-small.png
ta-da_yrvBrlS,Ta-da!,"foley, winning",
tf,You Failed,"games, fail, meeting",
thats_what_she_said,Thats What She Said,"the-office, tv-show, quote, meeting",the-office.png
thats-all-folks-porky,Thats All Folks,"conclusion, cartoons, theme-song, meeting",looney-tunes.png
the-benny-hill-show-theme-short-sound-clip-and-quote-hark,Benny Hill,"mockery, circus, theme-song",benny-hill.png
the-force-is-strong-with-this-one,The Force is Strong,"darth-vader, quote",darth-vader-small.png
thisissparta.swf,This is Sparta!!,"movies, action, quote, meeting",this-is-sparta.png
tidylabs-bfg,Doom bfg,"action, metal, games",doom-game.png
titanic-flute-fail,Titanic Flute fail,"fail, movies",
tmp49xh2y2g,Oh no its Bad. It's 'Real' Bad,"the-office, tv-show, desperation, fail",the-office.png
tmpb1ci9teh,The Doom Slayer,"robot-voice, angry",
tmpbxydyrz3,Snoop Dogg meme,"meme, winning, meeting",
tmpbzc_o7bi,I am so Scared,"the-office, tv-show, desperation",the-office.png
tmpeodo70zr,"Omg! Ok, it's happening!","the-office, tv-show",the-office.png
tmpjp50vb3i,Aaaa I’m gonna Kill myself,"the-office, tv-show, quote, desperation",the-office.png
tmpz9lqlsfz,Rocky,"action, movies",rocky.png
toilet_flush,Toilet Flush,"foley, fail",
ungrateful-he-bitch,Ungrateful He-Bitch,"angry, insult",
untitled_627,Ultimate Insult,"angry, insult, meeting",
wcgertcz074,Oh shit not good,"no, danger",
what-are-waiting-for-christmas-vifwar7jxcq,"What are waiting for, Xms","dismissive, movies, quote, impatience",duke-nukem.png
whos-your-daddy2,Who's your daddy2,"sexy, quote, winning",
wolf6,Wolf Howling,cartoons,
woody-woodpecker-laugh,Woody Woodpecker Laugh,laugh,woody-woodpecker.png
worlds-smallest-violin,World's Smallest Violin,sad,
wrong-answer-sound-effect,Buzzer,"dismissive, fail, meeting",buzzer-button.png
yessir,Yessir,"yes, confirmation, approve, meeting",
you-are-an-idiot,You are an Idiot!,"dismissive, insult",
you-dirty-bitch,You Dirty Bitch,"angry, insult, female-voice",
you-dont-know-the-power-of-the-dark-side_T8I6URq,U Don't Know the Power of Darkside,"darth-vader, movies",darth-vader-small.png
youre-despicable_7UReTnU,You're Despicable,"angry, dismissive, insult",
youre-fired,You're Fired!,"dismissive, quote",
youre-god-damn-right,You're God Damn Right,"yes, enthusiasm, meeting, supportive",
fart-2,Fart 2,fart,
heimerdinger-very-interesting,Very Interesting,meeting,
loud-fart,Loud Fart,fart,
pana-aici-diana-sosoaca,șoșo: Până aici!,ro,
sandu-ciorba-ale,Sandu Ciorbă: Căpitan Major,ro,
spor-la-cafeaaa,Spor la cafea,ro,
theatre-applauding,Theater Applause 2,"enthusiasm, approve, meeting, supportive",
audience-clapping,Audience Clapping,"enthusiasm, approve, meeting, supportive",
baby-crying,Baby Crying,"meeting, excuses",
small-crowd-cheering-clapping,Small Crowd Cheering,"enthusiasm, approve, meeting",
sus-clapping,"Clapping (muted, sarcastic)","meeting, sarcasm",
theater-applause,Theater Applause,"enthusiasm, approve, meeting, supportive",
