"partid membru","alianta"
"PARTIDUL PUTERII UMANISTE (SOCIAL-LIBERAL)","ALIANȚA ELECTORALĂ ""ALIANȚA PENTRU BICAZ 2020"
"PARTIDUL SOCIAL DEMOCRAT","ALIANȚA ELECTORALĂ ""ALIANȚA PENTRU BICAZ 2020"
"PARTIDUL ALIANȚA LIBERALILOR ȘI DEMOCRAȚILOR","ALIANȚA ELECTORALĂ ""ALIANȚA PENTRU MODERNIZAREA NEAMȚULUI 2020"
"PARTIDUL PUTERII UMANISTE (SOCIAL-LIBERAL)","ALIANȚA ELECTORALĂ ""ALIANȚA PENTRU MODERNIZAREA NEAMȚULUI 2020"
"PARTIDUL SOCIAL DEMOCRAT","ALIANȚA ELECTORALĂ ""ALIANȚA PENTRU MODERNIZAREA NEAMȚULUI 2020"
"PARTIDUL PUTERII UMANISTE (SOCIAL-LIBERAL)","ALIANȚA ELECTORALĂ ""ALIANȚA PENTRU PIATRA NEAMȚ 2020"
"PARTIDUL SOCIAL DEMOCRAT","ALIANȚA ELECTORALĂ ""ALIANȚA PENTRU PIATRA NEAMȚ 2020"
"PARTIDUL PUTERII UMANISTE (SOCIAL-LIBERAL)","ALIANȚA ELECTORALĂ ""ALIANȚA PENTRU ROMAN 2020"
"PARTIDUL SOCIAL DEMOCRAT","ALIANȚA ELECTORALĂ ""ALIANȚA PENTRU ROMAN 2020"
"PARTIDUL PUTERII UMANISTE (SOCIAL-LIBERAL)","ALIANȚA ELECTORALĂ ""ALIANȚA PENTRU ROZNOV 2020"
"PARTIDUL SOCIAL DEMOCRAT","ALIANȚA ELECTORALĂ ""ALIANȚA PENTRU ROZNOV 2020"
"PARTIDUL PUTERII UMANISTE (SOCIAL-LIBERAL)","ALIANȚA ELECTORALĂ ""ALIANȚA PENTRU TÂRGU NEAMȚ 2020"
"PARTIDUL SOCIAL DEMOCRAT","ALIANȚA ELECTORALĂ ""ALIANȚA PENTRU TÂRGU NEAMȚ 2020"
"PARTIDUL NAȚIONAL ȚĂRĂNESC CREȘTIN DEMOCRAT","ALIANȚA ELECTORALĂ COALIȚIA PENTRU MARAMUREȘ CMM"
"PARTIDUL PUTERII UMANISTE (SOCIAL-LIBERAL)","ALIANȚA ELECTORALĂ COALIȚIA PENTRU MARAMUREȘ CMM"
"PARTIDUL SOCIAL DEMOCRAT","ALIANȚA ELECTORALĂ COALIȚIA PENTRU MARAMUREȘ CMM"
"PARTIDUL SOCIAL DEMOCRAT","ALIANȚA PENTRU APOSTOLACHE"
"PARTIDUL PRO ROMÂNIA","ALIANȚA PENTRU ARICEȘTII RAHTIVANI"
"PARTIDUL SOCIAL DEMOCRAT","ALIANȚA PENTRU ARICEȘTII RAHTIVANI"
"PARTIDUL PUTERII UMANISTE (SOCIAL-LIBERAL)","ALIANȚA PENTRU ARICEȘTII ZELETIN"
"PARTIDUL SOCIAL DEMOCRAT","ALIANȚA PENTRU ARICEȘTII ZELETIN"
"PARTIDUL PUTERII UMANISTE (SOCIAL-LIBERAL)","ALIANȚA PENTRU BABA ANA"
"PARTIDUL SOCIAL DEMOCRAT","ALIANȚA PENTRU BABA ANA"
"PARTIDUL PUTERII UMANISTE (SOCIAL-LIBERAL)","ALIANȚA PENTRU BAICOI"
"PARTIDUL SOCIAL DEMOCRAT","ALIANȚA PENTRU BAICOI"
"PARTIDUL ALIANȚA LIBERALILOR ȘI DEMOCRAȚILOR","ALIANȚA PENTRU BECLEAN"
"PARTIDUL PRO ROMÂNIA","ALIANȚA PENTRU BECLEAN"
"PARTIDUL SOCIAL DEMOCRAT","ALIANȚA PENTRU BECLEAN"
"PARTIDUL ALIANȚA LIBERALILOR ȘI DEMOCRAȚILOR","ALIANȚA PENTRU BISTRIȚA BÂRGĂULUI"
"PARTIDUL PRO ROMÂNIA","ALIANȚA PENTRU BISTRIȚA BÂRGĂULUI"
"PARTIDUL SOCIAL DEMOCRAT","ALIANȚA PENTRU BISTRIȚA BÂRGĂULUI"
"PARTIDUL ALIANȚA LIBERALILOR ȘI DEMOCRAȚILOR","ALIANȚA PENTRU BISTRIȚA-NĂSĂUD"
"PARTIDUL PRO ROMÂNIA","ALIANȚA PENTRU BISTRIȚA-NĂSĂUD"
"PARTIDUL SOCIAL DEMOCRAT","ALIANȚA PENTRU BISTRIȚA-NĂSĂUD"
"UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA","ALIANȚA PENTRU BISTRIȚA-NĂSĂUD"
"PARTIDUL PUTERII UMANISTE (SOCIAL-LIBERAL)","ALIANȚA PENTRU BOLDEȘTI SCAENI"
"PARTIDUL SOCIAL DEMOCRAT","ALIANȚA PENTRU BOLDEȘTI SCAENI"
"PARTIDUL ALIANȚA LIBERALILOR ȘI DEMOCRAȚILOR","ALIANȚA PENTRU BRANIȘTEA"
"PARTIDUL PRO ROMÂNIA","ALIANȚA PENTRU BRANIȘTEA"
"PARTIDUL SOCIAL DEMOCRAT","ALIANȚA PENTRU BRANIȘTEA"
"PARTIDUL PUTERII UMANISTE (SOCIAL-LIBERAL)","ALIANȚA PENTRU BUCOV"
"PARTIDUL SOCIAL DEMOCRAT","ALIANȚA PENTRU BUCOV"
"PARTIDUL ALIANȚA LIBERALILOR ȘI DEMOCRAȚILOR","ALIANȚA PENTRU BUDACU DE JOS"
"PARTIDUL PRO ROMÂNIA","ALIANȚA PENTRU BUDACU DE JOS"
"PARTIDUL SOCIAL DEMOCRAT","ALIANȚA PENTRU BUDACU DE JOS"
"PARTIDUL ALIANȚA LIBERALILOR ȘI DEMOCRAȚILOR","ALIANȚA PENTRU BUDEȘTI"
"PARTIDUL PRO ROMÂNIA","ALIANȚA PENTRU BUDEȘTI"
"PARTIDUL SOCIAL DEMOCRAT","ALIANȚA PENTRU BUDEȘTI"
"PARTIDUL ALIANȚA LIBERALILOR ȘI DEMOCRAȚILOR","ALIANȚA PENTRU CĂIANU MIC"
"PARTIDUL PRO ROMÂNIA","ALIANȚA PENTRU CĂIANU MIC"
"PARTIDUL SOCIAL DEMOCRAT","ALIANȚA PENTRU CĂIANU MIC"
"PARTIDUL REPUBLICAN DIN ROMÂNIA","ALIANȚA PENTRU CENEI"
"PARTIDUL PUTERII UMANISTE (SOCIAL-LIBERAL)","ALIANȚA PENTRU CEPTURA"
"PARTIDUL SOCIAL DEMOCRAT","ALIANȚA PENTRU CEPTURA"
"PARTIDUL ALIANȚA LIBERALILOR ȘI DEMOCRAȚILOR","ALIANȚA PENTRU CETATE"
"PARTIDUL PRO ROMÂNIA","ALIANȚA PENTRU CETATE"
"PARTIDUL SOCIAL DEMOCRAT","ALIANȚA PENTRU CETATE"
"PARTIDUL ALIANȚA LIBERALILOR ȘI DEMOCRAȚILOR","ALIANȚA PENTRU CHIOCHIȘ"
"PARTIDUL PRO ROMÂNIA","ALIANȚA PENTRU CHIOCHIȘ"
"PARTIDUL SOCIAL DEMOCRAT","ALIANȚA PENTRU CHIOCHIȘ"
"PARTIDUL ALIANȚA LIBERALILOR ȘI DEMOCRAȚILOR","ALIANȚA PENTRU CHIUZA"
"PARTIDUL PRO ROMÂNIA","ALIANȚA PENTRU CHIUZA"
"PARTIDUL SOCIAL DEMOCRAT","ALIANȚA PENTRU CHIUZA"
"PARTIDUL ALIANȚA LIBERALILOR ȘI DEMOCRAȚILOR","ALIANȚA PENTRU CICEU-GIURGEȘTI"
"PARTIDUL PRO ROMÂNIA","ALIANȚA PENTRU CICEU-GIURGEȘTI"
"PARTIDUL SOCIAL DEMOCRAT","ALIANȚA PENTRU CICEU-GIURGEȘTI"
"PARTIDUL ALIANȚA LIBERALILOR ȘI DEMOCRAȚILOR","ALIANȚA PENTRU CICEU-MIHĂIEȘTI"
"PARTIDUL PRO ROMÂNIA","ALIANȚA PENTRU CICEU-MIHĂIEȘTI"
"PARTIDUL SOCIAL DEMOCRAT","ALIANȚA PENTRU CICEU-MIHĂIEȘTI"
"PARTIDUL PUTERII UMANISTE (SOCIAL-LIBERAL)","ALIANȚA PENTRU COCORĂȘTII MISLII"
"PARTIDUL SOCIAL DEMOCRAT","ALIANȚA PENTRU COCORĂȘTII MISLII"
