URL,Post ID (Shortlink),Post ID (Body),Category Names,Category Slugs,Title,Meta Description,OG Title,OG Description,OG Image,Post Content (Cleaned HTML)
https://chateaulavardens.fr/introduction-english-version/,13648,13648,English Version Museography,english-version-museography,Introduction - English version — Château de Lavardens,"D’Artagnan, the iconic figure of swashbuckling adventure novels, was not a mere invention—he truly existed. Alexandre Dumas based his famous character on the",Introduction - English version — Château de Lavardens,"D’Artagnan, the iconic figure of swashbuckling adventure novels, was not a mere invention—he truly existed. Alexandre Dumas based his famous character on the",https://chateaulavardens.fr/wp-content/uploads/2025/06/DArtagnan-Introduction.png,"<div class=""elementor elementor-13648"" data-elementor-id=""13648"" data-elementor-post-type=""post"" data-elementor-type=""wp-post"">
 <div>
  <div>
   <div>
    <div>
     <p>
      <span>
       D’Artagnan, the iconic figure of swashbuckling adventure novels, was not a mere invention—he truly existed. Alexandre Dumas based his famous character on the writings of a 17th-century author, Gatien de Courtilz de Sandras. In 1700, Courtilz published the
      </span>
      <i>
       <span>
        Memoirs of Monsieur d’Artagnan
       </span>
      </i>
      <span>
       in Cologne—a fictional, apocryphal, and highly romanticized account of the life of a real Gascon: Charles de Batz de Castelmore d’Artagnan, who served as captain-lieutenant of the first company of King Louis XIV’s Musketeers.
      </span>
     </p>
     <p>
      <span>
       The Château de Lavardens invites visitors to discover the story of this modest cadet from Gascony who rose to become a royal Musketeer and died a hero—and to explore how his legend spread far beyond France’s borders.
      </span>
     </p>
     <p>
      <br/>
      <br/>
     </p>
    </div>
   </div>
  </div>
 </div>
</div>
"
https://chateaulavardens.fr/audioguide-pistes/,12817,Not Found,Not Found,Not Found,Audioguide-pistes — Château de Lavardens,"Bienvenue au Château de Lavardens. Pendant votre visite, vous allez découvrir un château du XVIIe siècle qui s’élève sur les fondations de l’ancienne",Audioguide-pistes — Château de Lavardens,"Bienvenue au Château de Lavardens. Pendant votre visite, vous allez découvrir un château du XVIIe siècle qui s’élève sur les fondations de l’ancienne",https://chateaulavardens.fr/wp-content/uploads/2020/02/lavardens-lheure-bleue_12002546175_o.jpg,Not Found
https://chateaulavardens.fr/the-siege-of-maastricht-the-death-of-dartagnan/,13879,13879,English Version Museography|Maastricht,english-version-museography|maastricht,The Siege of Maastricht: The Death of d’Artagnan — Château de Lavardens,"From the beginning of his personal reign, Louis XIV pursued a grand political vision involving wars of conquest. He sought glory on the battlefield and to",The Siege of Maastricht: The Death of d’Artagnan — Château de Lavardens,"From the beginning of his personal reign, Louis XIV pursued a grand political vision involving wars of conquest. He sought glory on the battlefield and to",https://chateaulavardens.fr/wp-content/uploads/2025/06/Maastricht.png,"<div class=""elementor elementor-13879"" data-elementor-id=""13879"" data-elementor-post-type=""post"" data-elementor-type=""wp-post"">
 <div>
  <div>
   <div>
    <div>
     <p>
      <span>
       From the beginning of his personal reign, Louis XIV pursued a grand political vision involving wars of conquest. He sought glory on the battlefield and to assert France’s power over its European neighbors.
      </span>
     </p>
     <p>
      <span>
       After an initial campaign in the winter of 1665, the King launched his first war: the War of Devolution. Though his swift victories in the Spanish Netherlands and Franche-Comté must have  pleased him, Louis XIV sought a more spectacular war. Thus, with patience and care he and his ministers prepared the Franco-Dutch War over four years. Their enemy was identified: the Protestant and commercially powerful Dutch Republic.
      </span>
     </p>
     <p>
      <span>
       In 1672 the French army, commanded by Turenne and Condé and accompanied by Louis XIV himself, invaded the Dutch Republic. The Rhine was crossed and Dutch cities fell rapidly and with little resistance. The goal was Amsterdam, but the Dutch flooded the countryside by breaking the dykes. Despite a musketeer attempt to prevent this, land access was cut off, thereby halting the campaign. Louis XIV returned to France, acknowledging the setback.
      </span>
     </p>
     <p>
      <span>
       For the 1673 campaign the King focused on the most formidable fortress in Europe, avoided the previous year: Maastricht. Vauban was charged with conducting the sieg and applying his expertise. Louis XIV arrived at the city on June 10, whereupon work began immediately on establishing a large defensive perimeter. Once this was done the besiegers began to dig  approach trenches on the night of June 17-18. To avoid direct fire the trenches zigzagged, reaching 30 meters from the outer fortifications of the Tongres Gate by June 24.
      </span>
     </p>
     <p>
      <span>
       The first attack took place on the night of June 24-25, led by musketeers commanded in part by d’Artagnan, then
      </span>
      <i>
       <span>
        maréchal de camp
       </span>
      </i>
      <span>
       of the day, along with grenadiers targeting the advanced demi-lune. Fierce fighting ensued, with strong Dutch resistance, yet between 4 and 5 a.m. the musketeers secured the position, where they were relieved between 6 and 7 a.m. by the French Guards.
      </span>
     </p>
    </div>
   </div>
   <div>
    <div>
     <h2>
      The Final Assault
     </h2>
    </div>
   </div>
   <div>
    <div>
     <p>
      <span>
       On Sunday 25 June 1673 the weather was hot and heavy. Around noon the Dutch launched a counterattack. Surprised, the French Guards began to retreat. From his camp d’Artagnan heard a gunshot and, to prevent the loss of the demi-lune, rushed back into combat. The 24-year-old Duke of Monmouth, illegitimate son of King Charles II of England, led a small detachment of English soldiers attached to the French army as lieutenant of the day. Inexperienced, Monmouth charged openly under enemy fire, ignoring d’Artagnan’s advice to use the less exposed trench. He charged directly at a barricade built that morning by the French.
      </span>
     </p>
     <p>
      <span>
       Honorable as ever, d’Artagnan followed, crossing the barricade through a narrow passage where he was struck in the head by a musket ball.
      </span>
     </p>
     <p>
      <span>
       With Monmouth, the musketeers renewed their assault, pushed back the Dutch, and secured control of the demi-lune despite heavy losses. After another French assault on the night of June 27-28, led by the second company of musketeers, the Dutch surrendered on June 30.
      </span>
     </p>
     <p>
      <span>
       Several musketeers tried to recover d’Artagnan’s body under fire; four died before Saint-Léger, the company’s
      </span>
      <i>
       <span>
        maréchal des logis
       </span>
      </i>
      <span>
       , succeeded. Louis XIV rewarded him with 30,000 livres. The King held a mass in d’Artagnan’s memory; his body was watched over by his two cousins and buried in an unknown location.
      </span>
     </p>
     <p>
      <span>
       D’Artagnan was mourned by both his men and by the King. Pelisson, the King’s historian, wrote: “One cannot express how deeply he was regretted by everyone, especially the King, who spoke of him many times with great esteem and sorrow.” Pierre Quarré d’Aligny, wounded during the demi-lune assault, wrote: “If one could die of grief, I truly would be dead. Had we not laboured at that cursed barrier, he would still be alive.”
      </span>
     </p>
     <p>
      <span>
       D’Artagnan’s death marked the beginning of an unparalleled legend, crossing time and borders. His name, synonymous with panache and bravery, remains an enduring inspiration.
      </span>
     </p>
    </div>
   </div>
  </div>
 </div>
</div>
"
https://chateaulavardens.fr/the-marriage-of-louis-xiv/,13831,13831,English Version Museography|Musketeersmissions,english-version-museography|musketeersmissions,The Marriage of Louis XIV — Château de Lavardens,"The marriage of Louis XIV, celebrated in 1660, was a major event for the French monarchy. The 22-year-old King married Marie-Thérèse of Austria, Infanta of",The Marriage of Louis XIV — Château de Lavardens,"The marriage of Louis XIV, celebrated in 1660, was a major event for the French monarchy. The 22-year-old King married Marie-Thérèse of Austria, Infanta of",https://chateaulavardens.fr/wp-content/uploads/2025/06/Mariage.png,"<div class=""elementor elementor-13831"" data-elementor-id=""13831"" data-elementor-post-type=""post"" data-elementor-type=""wp-post"">
 <div>
  <div>
   <div>
    <div>
     <p>
      <span>
       The marriage of Louis XIV, celebrated in 1660, was a major event for the French monarchy. The 22-year-old King married Marie-Thérèse of Austria, Infanta of Spain, thereby sealing peace between the two European powers after years of conflict.
      </span>
     </p>
     <p>
      <span>
       The union aimed to ease the rivalry between the Spanish Habsburgs and the French Bourbons and also to strengthen the young monarch’s legitimacy at a time when he was still seeking to assert his authority following the turbulent period of the Fronde.
      </span>
     </p>
     <p>
      <span>
       In this environment of diplomatic negotiations and military tension d’Artagnan played a discreet yet important role. Entrusted with sensitive missions to ensure the security of the royal event, he was a trusted man first of Cardinal Mazarin and later of Louis XIV himself. He supervised the protection of the routes used by the court and ensured the safety of those traveling to Saint-Jean-de-Luz, the wedding’s location.
      </span>
     </p>
     <p>
      <span>
       His unwavering loyalty and military efficiency helped maintain calm during the critical days surrounding the signing and celebration of the treaty. His presence reassured the government in circumstances where any attempt at assassination or sabotage could have jeopardized the fragile peace between France and Spain.
      </span>
     </p>
     <p>
      <span>
       Louis XIV developed an absolute monarchy based on divine right. He centralized the kingdom’s administration, strengthened royal authority over the French Church and staged his power through court etiquette and grandeur, especially at Versailles which he transformed into a permanent royal residence. The palace became the political and cultural heart of France.
      </span>
     </p>
     <p>
      <span>
       Under his reign France experienced a golden age of the arts and the intellect which saw Molière, Racine, Lully, Le Brun and the founding of the Royal Academy of Sciences.
      </span>
     </p>
     <p>
      <span>
       Militarily, Louis XIV waged several wars aimed at expanding France’s borders or defending dynastic interests. However, although sometimes victorious, these conflicts ultimately weakened the country.
      </span>
     </p>
     <p>
      <span>
       His reign also included controversial decisions such as the revocation of the Edict of Nantes in 1685, which led to the exile of many Protestants and harmed the economy.
      </span>
     </p>
     <p>
      <span>
       Louis XIV died on 1 September 1715 at the age of 76, leaving behind a powerful, centralized kingdom but one that was impoverished and exhausted by war.
      </span>
     </p>
    </div>
   </div>
  </div>
 </div>
</div>
"
https://chateaulavardens.fr/the-musketeers-military-role-in-war/,13854,13854,English Version Museography|Musketeersmissions,english-version-museography|musketeersmissions,The Musketeers’ Military Role in War — Château de Lavardens,"Originally, the King’s Musketeers were just one corps of the royal guard, tasked with the King’s close protection, though on a few occasions Louis XIII",The Musketeers’ Military Role in War — Château de Lavardens,"Originally, the King’s Musketeers were just one corps of the royal guard, tasked with the King’s close protection, though on a few occasions Louis XIII",https://chateaulavardens.fr/wp-content/uploads/2025/06/military-role.png,"<div class=""elementor elementor-13854"" data-elementor-id=""13854"" data-elementor-post-type=""post"" data-elementor-type=""wp-post"">
 <div>
  <div>
   <div>
    <div>
     <p>
      <span>
       Originally, the King’s Musketeers were just one corps of the royal guard, tasked with the King’s close protection, though on a few occasions Louis XIII ordered them to fight on the front lines, such as at the Battle of the Pas de Suse in 1629. It was Louis XIV who assigned them an active combat role in 1665, and from then onwards they took part in all the military campaigns of his reign.
      </span>
     </p>
     <p>
      <span>
       The very nature of mounted musketeers revealed their combat versatility, and as mounted infantry they fought both on foot and on horseback, foreshadowing the future dragoons. This tactical flexibility, combined with high mobility, made the King’s Musketeers in the 17th century more like elite commando units than regular troops. In battle formations musketeers were placed on the flanks or outside the lines, ready to be deployed wherever needed. They were a highly mobile shock troop.
      </span>
     </p>
     <p>
      <span>
       Musketeers fought in pitched battles, sieges and “commando” operations. Their role in line battles grew particularly in the 18th century when they were integrated into heavy cavalry. But under Louis XIII and Louis XIV they often led cavalry charges, fought on foot or covered army retreats, such as during the siege of Candia in 1669. Their greatest usefulness was in sieges, where they were deployed to defend besieged cities, counter sallies by defenders or, most importantly, to lead assaults.
      </span>
     </p>
     <p>
      <span>
       The year 1677 alone demonstrated their particular versatility when, to Louis XIV’s astonishment, they stormed the city of Valenciennes in under an hour, an achievement that remains their most brilliant feat. A month later they charged both on foot and on horseback at the Battle of Cassel. And finally, detached from the main army, they supported a siege led by William of Orange at Charleroi.
      </span>
     </p>
    </div>
   </div>
  </div>
 </div>
</div>
"
https://chateaulavardens.fr/louis-xiii-1601-1643/,13796,13796,Dartagnan At Court|English Version Museography,dartagnan-at-court|english-version-museography,Louis XIII (1601–1643) — Château de Lavardens,"Louis XIII, nicknamed the “Warrior King”, embodied the will to foster territorial expansion and to strengthen royal sovereignty, supported by his chief",Louis XIII (1601–1643) — Château de Lavardens,"Louis XIII, nicknamed the “Warrior King”, embodied the will to foster territorial expansion and to strengthen royal sovereignty, supported by his chief",https://chateaulavardens.fr/wp-content/uploads/2025/06/king-louis-xiii.png,"<div class=""elementor elementor-13796"" data-elementor-id=""13796"" data-elementor-post-type=""post"" data-elementor-type=""wp-post"">
 <div>
  <div>
   <div>
    <div>
     <p>
      <span>
       Louis XIII, nicknamed the “Warrior King”, embodied the will to foster territorial expansion and to strengthen royal sovereignty, supported by his chief minister Cardinal Richelieu. Like his father Henri IV he actively commanded military campaigns during his 33-year reign.
      </span>
     </p>
     <p>
      <span>
       From a young age, Louis XIII showed a strong interest in military affairs, influenced by his passion for hunting and artillery. Trained as a cavalryman he participated actively in battles, notably during internal wars against Protestants, revolts by the peasantry and noble conspiracies by the nobility.
      </span>
     </p>
     <p>
      <span>
       Louis XIII led several important campaigns, including the repression of Huguenot uprisings, war against the House of Habsburg and sieges of La Rochelle and Montauban. In 1629 he secured the Peace of Alès, which ended religious wars in France. Other military campaigns continued in Italy and against Protestants in the south. The war against the Habsburgs escalated into direct confrontation, especially in 1635 with successes in Picardy and the defense of Paris against Spanish troops. Louis XIII’s army was known for mobilizing large forces and fighting on multiple fronts.
      </span>
     </p>
     <p>
      <span>
       He died in May 1643 after having reinforced France’s image as a European military power. His final decisive victory at Rocroi against the Spanish marked a turning point in the Thirty Years’ War. Thanks to his military successes France consolidated its power and weakened the threat from the Habsburgs.
      </span>
     </p>
    </div>
   </div>
  </div>
 </div>
</div>
"
https://chateaulavardens.fr/a-man-without-a-grave-or-a-face/,13930,13930,English Version Museography|From Man To Myth,english-version-museography|from-man-to-myth,A Man Without a Grave or a Face — Château de Lavardens,"Although we feel we know d’Artagnan’s face, no known or historically verified portrait of the Musketeer exists. An inventory made after the death of his",A Man Without a Grave or a Face — Château de Lavardens,"Although we feel we know d’Artagnan’s face, no known or historically verified portrait of the Musketeer exists. An inventory made after the death of his",https://chateaulavardens.fr/wp-content/uploads/2025/06/un-homme-sans-tombe-ni-visage-1.png,"<div class=""elementor elementor-13930"" data-elementor-id=""13930"" data-elementor-post-type=""post"" data-elementor-type=""wp-post"">
 <div>
  <div>
   <div>
    <div>
     <p>
      <span>
       Although we feel we know d’Artagnan’s face, no known or historically verified portrait of the Musketeer exists. An inventory made after the death of his brother-in-law mentions a portrait that has since been lost.
      </span>
     </p>
     <p>
      <span>
       Charles de Batz was not a prominent public figure like a King or a great noble, making it unlikely that an official portrait was commissioned or circulated at court. In the 17th century only members of the high nobility and  clergy or notable intellectual and artistic figures were regularly painted. D’Artagnan, belonging to a lesser Gascon nobility, would not have prioritized such an expensive luxury.
      </span>
     </p>
     <p>
      <span>
       It was Courtilz de Sandras and later Dumas who popularized the character. Their literary success came after d’Artagnan’s death, at a time when no one had thought to preserve or celebrate his image. The strong association between the fictional character and the historical man has further blurred the lines between fact and fiction.
      </span>
     </p>
     <p>
      <span>
       Moreover, the absence of a known burial site for his body adds to the romantic and legendary aura surrounding the Musketeer.
      </span>
     </p>
    </div>
   </div>
  </div>
 </div>
</div>
"
https://chateaulavardens.fr/arrival-in-paris/,13744,13744,Dartagnan At Court|English Version Museography,dartagnan-at-court|english-version-museography,Arrival in Paris — Château de Lavardens,"According to tradition, Charles (later known as d’Artagnan) arrived in Paris with a letter of recommendation from his father, addressed to a high-ranking",Arrival in Paris — Château de Lavardens,"According to tradition, Charles (later known as d’Artagnan) arrived in Paris with a letter of recommendation from his father, addressed to a high-ranking",https://chateaulavardens.fr/wp-content/uploads/2025/06/ARRIVAL-IN-PARIS.png,"<div class=""elementor elementor-13744"" data-elementor-id=""13744"" data-elementor-post-type=""post"" data-elementor-type=""wp-post"">
 <div>
  <div>
   <div>
    <div>
     <p>
      <span>
       According to tradition, Charles (later known as d’Artagnan) arrived in Paris with a letter of recommendation from his father, addressed to a high-ranking officer, to help him join the
      </span>
      <i>
       <span>
        Gardes françaises
       </span>
      </i>
      <span>
       —an elite military corps made up of around twenty companies under the command of the Duke of Épernon. D’Artagnan is thought to have arrived in Paris in 1630. It was Duke Antoine III de Gramont who introduced him at court, where he would go on to rub shoulders with many of the leading figures of his time.
      </span>
     </p>
    </div>
   </div>
   <div>
    <div>
     <h2>
      In Dumas
     </h2>
    </div>
   </div>
   <div>
    <div>
     <p>
      <span>
       Although Dumas’s
      </span>
      <i>
       <span>
        Three Musketeers
       </span>
      </i>
      <span>
       travel far and wide—from Flanders to Brittany and even England—Paris remains their main stage. The city still bears traces of these tales, particularly around the Saint-Sulpice district.
      </span>
     </p>
     <p>
      <span>
       Dumas, like his heroes, came to Paris from the provinces. He captures the capital with both admiration and a critical eye, blending accurate detail with approximation and history with fiction.
      </span>
      <span>
       <br/>
      </span>
      <span>
       According to Courtilz de Sandras, d’Artagnan began his military career around 1640 in the company of the Sieur des Essarts, brother-in-law to Monsieur de Tréville. Dumas adopted this version but shifted the timeline to 1625 to insert his hero into the Siege of La Rochelle.
      </span>
     </p>
    </div>
   </div>
  </div>
 </div>
</div>
"
https://chateaulavardens.fr/the-illustrators/,13940,13940,English Version Museography|From Man To Myth,english-version-museography|from-man-to-myth,The Illustrators — Château de Lavardens,"Maurice Leloir was a prominent figure renowned for his talents as a painter, illustrator, costume historian and collector.",The Illustrators — Château de Lavardens,"Maurice Leloir was a prominent figure renowned for his talents as a painter, illustrator, costume historian and collector.",https://chateaulavardens.fr/wp-content/uploads/2025/06/maurice-leloir-les-trois-mousquetaires-dartagnan-et-rochefort-se-reconcilient-523cc1-1024-1.jpg,"<div class=""elementor elementor-13940"" data-elementor-id=""13940"" data-elementor-post-type=""post"" data-elementor-type=""wp-post"">
 <div>
  <div>
   <div>
    <div>
     <h2>
      Maurice Leloir 1853–1940
     </h2>
    </div>
   </div>
   <div>
    <div>
     <p>
      <span>
       Maurice Leloir was a prominent figure renowned for his talents as a painter, illustrator, costume historian and collector.
      </span>
     </p>
     <p>
      <span>
       In the 1890s Leloir and his students produced numerous illustrations inspired by photographs, faithfully depicting the costumes and postures of the past. He illustrated works by Molière, Marivaux, Rousseau and Dumas, among others. In 1907 he founded the Society for the History of Costume, which he chaired until his death.
      </span>
     </p>
     <p>
      <span>
       His expertise in historical costumes led him to collaborate with the film industry: in 1928, at the invitation of Douglas Fairbanks, he traveled to Hollywood to design sets and costumes for the film
      </span>
      <i>
       <span>
        The Iron Mask
       </span>
      </i>
      <span>
       . He recounted this experience in his memoir
      </span>
      <i>
       <span>
        Five Months in Hollywood with Douglas Fairbanks
       </span>
      </i>
      <span>
       .
      </span>
     </p>
     <p>
      <span>
       Maurice Leloir passed away on October 7, 1940, in Paris, leaving behind a rich and diverse body of work that reflects his passion for history and the art of costume.
      </span>
     </p>
    </div>
   </div>
   <div>
    <div>
     <h2>
      Vivant Beaucé 1818–1876
     </h2>
    </div>
   </div>
   <div>
    <div>
     <p>
      <span>
       Vivant Beaucé was a French painter, draftsman and illustrator who was active in the 19th century. He contributed illustrations to several notable literary works. In 1846 he worked on the first edition of Alexandre Dumas’
      </span>
      <i>
       <span>
        The Three Musketeers
       </span>
      </i>
      <span>
       , providing drawings engraved by Adolphe Gusman. Although sometimes confused with Jean-Adolphe Beaucé, another illustrator from the same period, there is no known family connection between them. Vivant Beaucé’s work remains a valuable testimony to 19th-century illustration art.
      </span>
     </p>
    </div>
   </div>
  </div>
 </div>
</div>
"
https://chateaulavardens.fr/the-musketeers-weaponry/,13719,13719,English Version Museography|The Kings Musketeers,english-version-museography|the-kings-musketeers,The Musketeers’ Weaponry — Château de Lavardens,"The King provided his Musketeers with only three essentials: lodging, a cassock (later replaced by a long sleeveless overcoat called a soubreveste), and a",The Musketeers’ Weaponry — Château de Lavardens,"The King provided his Musketeers with only three essentials: lodging, a cassock (later replaced by a long sleeveless overcoat called a soubreveste), and a",https://chateaulavardens.fr/wp-content/uploads/2025/06/The-Musketeers-Weaponry.png,"<div class=""elementor elementor-13719"" data-elementor-id=""13719"" data-elementor-post-type=""post"" data-elementor-type=""wp-post"">
 <div>
  <div>
   <div>
    <div>
     <p>
      <span>
       The King provided his Musketeers with only three essentials: lodging, a
      </span>
      <i>
       <span>
        cassock
       </span>
      </i>
      <span>
       (later replaced by a long sleeveless overcoat called a
      </span>
      <i>
       <span>
        soubreveste
       </span>
      </i>
      <span>
       ), and a musket (later, a flintlock rifle).
      </span>
     </p>
     <p>
      <span>
       The musket was the Musketeer’s standard weapon and it gave the corps its name. Under the Ancien Régime it was common to name military units after their primary arms. Thus the
      </span>
      <i>
       <span>
        carabins du roi
       </span>
      </i>
      <span>
       , created by Henry III and originally armed with carbines, became
      </span>
      <i>
       <span>
        Musketeers
       </span>
      </i>
      <span>
       when Louis XIII rearmed them with muskets in 1622.
      </span>
     </p>
     <p>
      <span>
       This early matchlock musket weighed 6 to 8 kilograms and required many accessories to load. It was slow to reload, inaccurate and needed a
      </span>
      <i>
       <span>
        fork rest
       </span>
      </i>
      <span>
       —a wooden support planted in the ground to stabilize the shot. In other words Musketeers had to dismount to fire; it was an infantry weapon. By the late 17th century the Musketeers had replaced their matchlocks with flintlock rifles. By then, however, the name had stuck; they had already built a reputation that the King wished to preserve.
      </span>
     </p>
     <p>
      <span>
       Yet Musketeers are most often pictured with sword in hand. Among the nobility—which made up the overwhelming majority of their ranks—firearms were seen as cowardly, being weapons that could be used from a distance. Upholding chivalric values, Musketeers preferred close combat, often discarding their muskets to charge under enemy fire. Numerous types of sword  were used, especially for court or for duels.
      </span>
     </p>
     <p>
      <span>
       As cavalrymen, Musketeers also carried a pair of pistols stored in holsters on their saddles.
      </span>
     </p>
    </div>
   </div>
  </div>
 </div>
</div>
"
